filepath,class,l1,l2,l3,l1_idx,l2_idx,l3_idx,class_idx,split
data/1x1/1RY1_114.mrc,1x1,internal_loop,symmetric,1x1,1,1,5,5,train
data/1x1/1RY1_116.mrc,1x1,internal_loop,symmetric,1x1,1,1,5,5,train
data/1x1/2J28_197.mrc,1x1,internal_loop,symmetric,1x1,1,1,5,5,test
data/1x1/2J28_198.mrc,1x1,internal_loop,symmetric,1x1,1,1,5,5,test
data/1x1/2NOQ_419.mrc,1x1,internal_loop,symmetric,1x1,1,1,5,5,val
data/1x1/3IZ4_526.mrc,1x1,internal_loop,symmetric,1x1,1,1,5,5,train
data/1x1/3J0L_527.mrc,1x1,internal_loop,symmetric,1x1,1,1,5,5,train
data/1x1/3J0O_528.mrc,1x1,internal_loop,symmetric,1x1,1,1,5,5,train
data/1x1/3J0P_529.mrc,1x1,internal_loop,symmetric,1x1,1,1,5,5,test
data/1x1/3J0Q_530.mrc,1x1,internal_loop,symmetric,1x1,1,1,5,5,train
data/1x1/3J28_531.mrc,1x1,internal_loop,symmetric,1x1,1,1,5,5,val
data/1x1/3J2B_532.mrc,1x1,internal_loop,symmetric,1x1,1,1,5,5,val
data/1x1/3J2D_533.mrc,1x1,internal_loop,symmetric,1x1,1,1,5,5,train
data/1x1/3J2E_534.mrc,1x1,internal_loop,symmetric,1x1,1,1,5,5,train
data/1x1/3J2F_535.mrc,1x1,internal_loop,symmetric,1x1,1,1,5,5,train
data/1x1/3J2G_536.mrc,1x1,internal_loop,symmetric,1x1,1,1,5,5,test
data/1x1/3J2H_537.mrc,1x1,internal_loop,symmetric,1x1,1,1,5,5,test
data/1x1/3J3V_538.mrc,1x1,internal_loop,symmetric,1x1,1,1,5,5,val
data/1x1/3J3W_539.mrc,1x1,internal_loop,symmetric,1x1,1,1,5,5,train
data/1x1/3J5L_540.mrc,1x1,internal_loop,symmetric,1x1,1,1,5,5,train
data/1x1/3J79_541.mrc,1x1,internal_loop,symmetric,1x1,1,1,5,5,train
data/1x1/3J79_542.mrc,1x1,internal_loop,symmetric,1x1,1,1,5,5,train
data/1x1/3J79_543.mrc,1x1,internal_loop,symmetric,1x1,1,1,5,5,train
data/1x1/3J79_544.mrc,1x1,internal_loop,symmetric,1x1,1,1,5,5,train
data/1x1/3J79_545.mrc,1x1,internal_loop,symmetric,1x1,1,1,5,5,train
data/1x1/3J79_546.mrc,1x1,internal_loop,symmetric,1x1,1,1,5,5,train
data/1x1/3J7A_547.mrc,1x1,internal_loop,symmetric,1x1,1,1,5,5,train
data/1x1/3J7A_548.mrc,1x1,internal_loop,symmetric,1x1,1,1,5,5,train
data/1x1/3J7Y_549.mrc,1x1,internal_loop,symmetric,1x1,1,1,5,5,train
data/1x1/3J7Y_550.mrc,1x1,internal_loop,symmetric,1x1,1,1,5,5,train
data/1x1/3J7Y_551.mrc,1x1,internal_loop,symmetric,1x1,1,1,5,5,train
data/1x1/3J7Z_552.mrc,1x1,internal_loop,symmetric,1x1,1,1,5,5,train
data/1x1/3J7Z_553.mrc,1x1,internal_loop,symmetric,1x1,1,1,5,5,train
data/1x1/3J8G_554.mrc,1x1,internal_loop,symmetric,1x1,1,1,5,5,train
data/1x1/3J9M_555.mrc,1x1,internal_loop,symmetric,1x1,1,1,5,5,test
data/1x1/3J9M_556.mrc,1x1,internal_loop,symmetric,1x1,1,1,5,5,test
data/1x1/3J9M_557.mrc,1x1,internal_loop,symmetric,1x1,1,1,5,5,test
data/1x1/3J9M_558.mrc,1x1,internal_loop,symmetric,1x1,1,1,5,5,test
data/1x1/3J9M_559.mrc,1x1,internal_loop,symmetric,1x1,1,1,5,5,test
data/1x1/3J9W_560.mrc,1x1,internal_loop,symmetric,1x1,1,1,5,5,train
data/1x1/3J9W_561.mrc,1x1,internal_loop,symmetric,1x1,1,1,5,5,train
data/1x1/3J9W_562.mrc,1x1,internal_loop,symmetric,1x1,1,1,5,5,train
data/1x1/3J9Y_563.mrc,1x1,internal_loop,symmetric,1x1,1,1,5,5,train
data/1x1/3J9Z_564.mrc,1x1,internal_loop,symmetric,1x1,1,1,5,5,train
data/1x1/3J9Z_565.mrc,1x1,internal_loop,symmetric,1x1,1,1,5,5,train
data/1x1/3JA1_566.mrc,1x1,internal_loop,symmetric,1x1,1,1,5,5,train
data/1x1/3JBN_567.mrc,1x1,internal_loop,symmetric,1x1,1,1,5,5,train
data/1x1/3JBN_568.mrc,1x1,internal_loop,symmetric,1x1,1,1,5,5,train
data/1x1/3JBN_569.mrc,1x1,internal_loop,symmetric,1x1,1,1,5,5,train
data/1x1/3JBN_570.mrc,1x1,internal_loop,symmetric,1x1,1,1,5,5,train
data/1x1/3JBN_571.mrc,1x1,internal_loop,symmetric,1x1,1,1,5,5,train
data/1x1/3JBN_572.mrc,1x1,internal_loop,symmetric,1x1,1,1,5,5,train
data/1x1/3JBN_574.mrc,1x1,internal_loop,symmetric,1x1,1,1,5,5,train
data/1x1/3JBN_575.mrc,1x1,internal_loop,symmetric,1x1,1,1,5,5,train
data/1x1/3JBN_576.mrc,1x1,internal_loop,symmetric,1x1,1,1,5,5,train
data/1x1/3JBN_577.mrc,1x1,internal_loop,symmetric,1x1,1,1,5,5,train
data/1x1/3JBN_578.mrc,1x1,internal_loop,symmetric,1x1,1,1,5,5,train
data/1x1/3JBO_579.mrc,1x1,internal_loop,symmetric,1x1,1,1,5,5,train
data/1x1/3JBO_580.mrc,1x1,internal_loop,symmetric,1x1,1,1,5,5,train
data/1x1/3JBO_581.mrc,1x1,internal_loop,symmetric,1x1,1,1,5,5,train
data/1x1/3JBO_582.mrc,1x1,internal_loop,symmetric,1x1,1,1,5,5,train
data/1x1/3JBO_583.mrc,1x1,internal_loop,symmetric,1x1,1,1,5,5,train
data/1x1/3JBO_585.mrc,1x1,internal_loop,symmetric,1x1,1,1,5,5,train
data/1x1/3JBO_586.mrc,1x1,internal_loop,symmetric,1x1,1,1,5,5,train
data/1x1/3JBO_587.mrc,1x1,internal_loop,symmetric,1x1,1,1,5,5,train
data/1x1/3JBO_588.mrc,1x1,internal_loop,symmetric,1x1,1,1,5,5,train
data/1x1/3JBP_589.mrc,1x1,internal_loop,symmetric,1x1,1,1,5,5,train
data/1x1/3JBP_590.mrc,1x1,internal_loop,symmetric,1x1,1,1,5,5,train
data/1x1/3JBP_591.mrc,1x1,internal_loop,symmetric,1x1,1,1,5,5,train
data/1x1/3JBP_592.mrc,1x1,internal_loop,symmetric,1x1,1,1,5,5,train
data/1x1/3JBP_593.mrc,1x1,internal_loop,symmetric,1x1,1,1,5,5,train
data/1x1/3JBP_594.mrc,1x1,internal_loop,symmetric,1x1,1,1,5,5,train
data/1x1/3JBP_595.mrc,1x1,internal_loop,symmetric,1x1,1,1,5,5,train
data/1x1/3JBP_596.mrc,1x1,internal_loop,symmetric,1x1,1,1,5,5,train
data/1x1/3JBU_597.mrc,1x1,internal_loop,symmetric,1x1,1,1,5,5,train
